time	V(n003)	V(n005)
1.630592348058384e-007	1.965274e+001	3.123954e+001
1.667289494699119e-007	1.965401e+001	3.126267e+001
1.705072663696557e-007	1.965472e+001	3.127849e+001
1.751004509038465e-007	1.965517e+001	3.129065e+001
1.805108784051875e-007	1.965543e+001	3.129937e+001
1.880802623550113e-007	1.965562e+001	3.130634e+001
1.958927623550113e-007	1.965572e+001	3.131026e+001
2.037052623550113e-007	1.965577e+001	3.131230e+001
2.115177623550113e-007	1.965579e+001	3.131337e+001
2.193302623550113e-007	1.965581e+001	3.131394e+001
2.271427623550113e-007	1.965582e+001	3.131423e+001
2.349552623550113e-007	1.965582e+001	3.131435e+001
2.427677623550113e-007	1.965582e+001	3.131437e+001
2.505802623550113e-007	1.965582e+001	3.131433e+001
2.583927623550112e-007	1.965582e+001	3.131423e+001
2.662052623550112e-007	1.965582e+001	3.131409e+001
2.740177623550112e-007	1.965582e+001	3.131391e+001
2.818302623550112e-007	1.965581e+001	3.131369e+001
2.896427623550112e-007	1.965581e+001	3.131342e+001
2.974552623550111e-007	1.965581e+001	3.131310e+001
3.052677623550111e-007	1.965580e+001	3.131272e+001
3.130802623550111e-007	1.965580e+001	3.131226e+001
3.208927623550111e-007	1.965579e+001	3.131171e+001
3.287052623550110e-007	1.965578e+001	3.131105e+001
3.365177623550110e-007	1.965577e+001	3.131026e+001
3.443302623550110e-007	1.965576e+001	3.130931e+001
3.521427623550110e-007	1.965575e+001	3.130817e+001
3.599552623550110e-007	1.965574e+001	3.130681e+001
3.677677623550109e-007	1.965572e+001	3.130521e+001
3.755802623550109e-007	1.965569e+001	3.130336e+001
3.833927623550109e-007	1.965567e+001	3.130125e+001
3.912052623550109e-007	1.965564e+001	3.129892e+001
3.990177623550109e-007	1.965561e+001	3.129638e+001
4.068302623550108e-007	1.965557e+001	3.129369e+001
4.146427623550108e-007	1.965554e+001	3.129087e+001
4.224552623550108e-007	1.965550e+001	3.128797e+001
